http://www.lgpn.ox.ac.uk/id/,http://www.trismegistos.org/person/
http://viaf.org/viaf/41988155/
V1-9541,5409,
V1-11006,10866,
V1-15917,2164,
V1-15918,5854,
V1-15919,3877,
V1-15920,36111,
V1-17104,14641,
V1-17109,9251,
V1-17125,14590,
V1-19223,4447,
V1-19450,8719,
V1-20742,8219,
V1-20743,8140,
V1-20744,5407,
V1-32375,4656,
V1-32741,5746,
V1-33504,6886,
V1-33700,7511,
V1-34299,8856,
V1-34307,5144,
V1-34315,35995,
V1-35244,10529,
V1-35686,12590,
V1-35909,13330,
V1-36250,14226,
V1-36328,14255,
V1-43183,6800,
V1-43184,35459,
V1-43185,8647,
V1-43276,5042,
V1-45988,2139,
V1-45989,5841,
V1-45990,10957,
V1-45991,5842,
V1-45992,11888,
V1-45993,6697,
V1-45994,6688,
V1-45995,13308,
V1-45996,10070,
V1-46028,35300,
V1-48124,8865,
V1-48125,10848,
V1-48127,9976,
V1-48128,10360,
V1-53024,5804,
V1-53101,12686,
V1-53438,7512,
V1-53445,5256,
V1-53446,5257,
V1-53447,5862,
V1-53448,6520,
V1-53449,10784,
V1-53450,7094,
V1-53451,10296,
V1-53452,9771,
V1-53453,19244,
V1-53455,14193,
V1-53456,8003,
V1-53457,13820,
V1-53458,6922,
V1-53459,4440,
V1-53460,8236,
V1-53461,7526,
V1-53463,12822,
V1-53467,10432,
V1-53486,6710,
V1-53487,7810,
V1-53516,4537,
V1-53541,13888,
V1-53652,8794,
V1-53784,4563,
V1-53858,14876,
V1-53934,9924,
V1-53936,9999,
V1-53940,10986,
V1-53951,16611,
V1-53966,14872,
V1-53975,7513,
V1-53976,7514,
V1-53977,18236,
V1-53978,7516,
V1-54023,14864,
V1-54997,4915,
V1-55076,14811,
V1-55077,14219,
V1-55079,5740,
V1-55080,7134,
V1-55082,10980,
V1-55083,10787,
V1-55084,14263,
V1-55085,6699,
V1-55086,8900,
V1-55112,5874,
V1-55273,7237,
V1-55649,5431,
V1-55689,13784,
V1-55809,4516,
V1-60845,35959,
V1-60849,5374,
V1-60854,5776,
V1-60863,7257,
V1-60895,35948,
V1-60915,10242,
V1-60924,10730,
V1-60930,11226,
V1-60952,14632,
V1-61064,4802,
V1-61136,5759,
V1-61384,9632,
V1-61393,9720,
V1-61743,8082,
V1-61744,10743,
V1-62658,4541,
V1-62707,4606,
V1-62786,4704,
V1-62790,4766,
V1-62915,5005,
V1-62936,5069,
V1-62984,5259,
V1-62995,5331,
V1-63131,6496,
V1-63148,36083,
V1-63216,5872,
V1-63283,6328,
V1-63536,6925,
V1-63557,7090,
V1-63558,7109,
V1-63582,16473,
V1-63645,17782,
V1-63699,7707,
V1-63964,8221,
V1-63985,8256,
V1-64020,8436,
V1-64023,8476,
V1-64025,8483,
V1-64042,8653,
V1-64351,9217,
V1-64494,9561,
V1-64503,9578,
V1-64542,9628,
V1-64611,9640,
V1-64783,9989,
V1-64794,10004,
V1-65004,10339,
V1-65085,10598,
V1-65086,10600,
V1-65237,11393,
V1-65242,12830,
V1-65266,11448,
V1-65274,11509,
V1-65344,12588,
V1-65406,12621,
V1-65434,12690,
V1-65522,12948,
V1-65821,14232,
V1-65851,3799,
V1-65933,16615,
V1-65962,18207,
V1-66000,14657,
V1-66115,19156,
V1-66195,8434,
V1-66209,6326,
V1-71661,6673,
V1-72372,7433,
V1-72871,8091,
V1-75384,18704,
V1-75883,10814,
V1-77167,13165,
V2-5189,36078,
V2-6982,5286,
V2-9408,5875,
V2-22665,7709,
V2-27015,8186,
V2-30772,1879,
V2-54468,12726,
V2-54985,13139,
V2-55218,13150,
V3a-6961,9409,
V3a-6963,13699,
V3a-7037,12779,
V3a-7056,9499,
V3a-8098,4432,
V3a-8503,5743,
V3a-10242,9405,
V3a-10871,13892,
V3a-13851,4903,
V3a-13853,13883,
V3a-13891,6335,
V3a-17129,10467,
V3a-17130,7909,
V3a-17131,14651,
V3a-17132,12606,
V3a-17134,12605,
V3a-17135,12874,
V3a-17136,7900,
V3a-17137,8145,
V3a-17138,8257,
V3a-17190,19146,
V3a-17250,7341,
V3a-18892,2177,
V3a-23671,16565,
V3a-24250,13669,
V3a-24376,14612,
V3a-26007,5762,
V3a-29148,10819,
V3a-29212,8295,
V3a-29213,2376,
V3a-29366,10078,
V3a-29382,13804,
V3a-37422,5207,
V3a-37709,6325,
V3a-38126,35942,
V3a-38839,8368,
V3a-39057,8864,
V3a-39204,9252,
V3a-40044,10494,
V3a-40124,36097,
V3a-40938,36099,
V3a-41096,13835,
V3a-41370,14576,
V3a-42179,5837,
V3a-42301,7183,
V3a-42395,8203,
V3a-42535,9785,
V3a-42612,10051,
V3a-42613,35832,
V3a-42758,10821,
V3a-44502,7088,
V3a-44549,7500,
V3a-44670,8857,
V3a-44973,10286,
V3a-44974,10288,
V3a-44975,10289,
V3a-45213,12494,
V3a-45368,13552,
V3a-45429,19362,
V3a-45611,16618,
V3a-46011,4416,
V3a-46293,19292,
V3a-46304,1474,
V3a-48127,6911,
V3a-51265,6907,
V3a-51357,18107,
V3a-51543,10482,
V3a-51544,10481,
V3a-51545,35874,
V3a-51547,14738,
V3a-51548,5041,
V3a-51549,11080,
V3a-51550,12491,
V3a-51551,12538,
V3a-51588,19372,
V3b-3448,16452,
V3b-4746,8906,
V3b-6086,4390,
V3b-6254,4430,
V3b-6462,4536,
V3b-6511,35873,
V3b-7408,842,
V3b-7484,5092,
V3b-7662,5420,
V3b-7664,5429,
V3b-7813,1967,
V3b-7936,5819,
V3b-7950,5827,
V3b-8117,36061,
V3b-9374,6801,
V3b-9610,36089,
V3b-9830,1436,
V3b-10644,16472,
V3b-11097,19036,
